Event ID,Event Link,Event Picture,Event Title,Event Organizer,Event Date,Event Address,Event Description
3930cbd3ff965bcbbe7f741977a00566,https://www.eventbrite.ca/e/eat-to-the-beat-2019-presented-by-kitchenaid-tickets-56145676229?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F64102216%2F113514631871%2F1%2Foriginal.20190618-195204?w=1000&auto=compress&rect=0%2C0%2C2160%2C1080&s=9595de5e5ee7062ebd5ca98ef5c4c037,Eat to the Beat 2019 Presented By KitchenAid®,by Canadian Cancer Society,"Tue, 22 October 2019
7:00 PM – 10:00 PM EDT","Roy Thomson Hall
60 Simcoe Street 
Toronto, ON M5J 2H5","Eat to the Beat is a food event like no other! Funds raised help the Canadian Cancer Society bring programs and support services to Canadians living with Breast Cancer. From diagnosis to survivorship, we ensure no one is alone in their journey.
Celebrating its 24th year, Eat to the Beat features the talents of 60 female chefs. Bringing together urban foodies to experience the best Ontario’s culinary scene has to offer. Women supporting women through the challenges that come with a breast cancer diagnosis.
Eat to the Beat has raised over $4.5 million to fund support programs and services for people living with breast cancer. In 2018, over 700 attendees raised over $230,000 to support those affected by breast cancer!
*This is a 19+ event
For more information, visit www.eattothebeat.ca"
a01289c6038ed8eea689a703b7de9740,https://www.eventbrite.ca/e/leaf-persons-day-gala-2019-tickets-69428074239?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F69702539%2F147790060047%2F1%2Foriginal.20190823-171828?w=1000&auto=compress&rect=0%2C60%2C1920%2C960&s=2898cebc9b9b2587a9016ae425c18d3e,LEAF Persons Day Gala 2019,by Women's Legal Education and Action Fund (LEAF),"Wed, 23 October 2019
6:00 PM – 9:00 PM EDT","Bram and Bluma Appel Salon
789 Yonge Street 
#2nd floor 
Toronto, ON M4W 2G8","LEAF's annual Persons Day Gala is our largest and most important event. The funds raised directly support our work to advance equality rights. On October 23rd, 2019, we'll welcome hundreds of LEAF supporters to the Bram and Bluma Appel Salon at the Toronto Reference Library. We'll share a wonderful evening of cocktails and culinary delights with members of the legal, feminist, academic, activist, corporate, and labour communities.
This year, we're pleased to welcome the world-renowned comedy theatre, The Second City, which will be providing entertainment for the evening from an all-female improvisation cast! 






The Persons Day Gala is possible thanks to the generous support of our sponsors!
Our legal community sponsors:
Bogoroch and Associates LLP, Borden Ladner Gervais LLP (BLG), Cavalluzzo LLP, Davies Ward Phillips & Vineberg LLP, Fasken, Goldblatt Partners LLP, Kastner Law, Koskie Minsky LLP, Law Society of Ontario, Lax O'Sullivan Lisus Gottlieb LLP, Lerners LLP, Paliare Roland Rosenberg Rothstein LLP, Pape Chaudhury LLP, Stockwoods LLP 
Our labour community sponsors:
AMAPCEO, CUPE Canadian Union of Public Employees,. Elementary Teachers' Federation of Ontario, Ontario Secondary School Teachers' Federation, Society of United Professionals, UFCW Canada, Ontario English Catholic Teachers Association, Ontario Nurses Association 
Our corporate sponsors:
BMO Bank of Montreal , Delaney Capital Management"
b8acf196600b1d94076deaefaf7d6526,https://www.eventbrite.ca/e/nonprofit-driven-2019-tickets-60816221957?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61207699%2F26329737977%2F1%2Foriginal.20190425-204422?w=1000&auto=compress&rect=0%2C0%2C1500%2C750&s=ae32c9cc590bd349ebd2e836a1a2d4c6,Nonprofit Driven 2019,by Ontario Nonprofit Network (ONN),"Wed, Nov 27, 2019, 8:00 AM –
Thu, Nov 28, 2019, 5:00 PM EST","Metro Toronto Convention Centre
222 Bremner Blvd 
Toronto, ON M5V 2T6","Ontario’s nonprofit sector is a positive force on the frontlines of community challenges and opportunities, providing on-the-ground solutions to improve people's lives.
We can’t be modest about the profound impact nonprofits and charities have on communities, nor the roles we play in tackling important issues across Ontario.
Let’s be bold and take this momentum to the next level.
Join 600 nonprofit and community leaders and policy makers at the largest public policy forum for Ontario's nonprofit sector.

Nonprofit Driven 2019 is two full days of interactive and insightful plenary sessions, workshops and networking opportunities to help individuals, their organizations, and the nonprofit sector.
What will you take away?
Participants will come away better equipped to take the bold steps needed to drive the public policy agenda forward – together:
Advancing skills for stronger organizations - Enhance skills and knowledge to improve organizational effectiveness and impact for both emerging and established leaders.
Influencing public policy for stronger communities – Learn about, discuss, rethink, and reimagine the big issues in the sector today to arrive at strategies for how to shape public policy, set the agenda for change, and work together for our sector and our communities.
Check our schedule to get the latest updates on programming. https://nonprofitdriven.ca/schedule/

Nonprofit Driven is presented by Ontario Nonprofit Network. The ONN engages, advocates, and leads with – and for – nonprofits that work for the public benefit in Ontario. Through policy, advocacy, and services, the ONN is strengthening the sector’s role as a key pillar of society and economy.
*To receive member pricing, please check your email for access to your member exclusive promotional code.
Nonprofit Driven is made possible thanks to generous sponsors and supporters.
Presenting Partner

Presenting Sponsor

Sponsors"
992eb20c8438a117acff2335d4d79b0f,https://www.eventbrite.ca/e/gianlucas-gift-gala-2019-tickets-68222668839?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F67800393%2F219760844484%2F1%2Foriginal.jpg?w=1000&auto=compress&rect=0%2C634%2C4944%2C2472&s=07c0c4d71586ce1a4b66a5e67930efa3,Gianluca's Gift Gala 2019,by Gianluca's Gift,"Sat, 5 Oct 2019, 6:00 PM –
Sun, 6 Oct 2019, 1:00 AM EDT","Riviera Event Space
2800 Hwy 7 
Vaughan, ON L4K 1W8","Get ready to dance the night away at this year's gala!
The beneficiary of the event is Character Community York Region. A charitable foundation that works to engage individuals and organizations in positive character development. The proceeds from the event support the Slap Shot Hockey Program, the Youth Social Justice Day Program, and the Gianluca Cellucci Memorial Award. Please visit www.gianlucasgift.ca for more information.

Ticket price includes antipasto bar, plated dinner, and open bar.
There will also be door prizes, a raffle, and silent auction!
Please email gianlucasgift@gmail.com if you have any questions or would like to become involved through our volunteer and sponsorship opportunities.
Tickets are on sale till September 25th at midnight!
If you would like to select the table that you purchase your tickets at, you will need to complete your purchase through Eventbrite's desktop site. If you have any trouble, please contact us at gianlucasgift@gmail.com


FAQs 
Can I reserve a table ?
If you would like to reserve a table please contact us at gianlucasgift@gmail.com, and we will place a hold on a table for you..
What's the refund policy?
Unfortunately, we are unable to provide refunds at this time.
Do I have to bring my printed ticket to the event?
Please bring either your printed copy or electronic version of the ticket to gain entrance to the event.
Is my registration fee or ticket transferrable?
Yes, please contact gianlucasgift@gmail.com to have your ticket transferred to another individual.
Is there a discounted price for children?
Yes, children aged 10 and under are $50. Please contact us at gianlucasgift@gmail.com if you have any trouble applying the discount to your child's ticket.
Is there a way to see where my family or friends are sitting?
Unfortunately, Eventbrite currently does not offer this feature. Please note your friend or family member's ticket will show at which table they are seated. However, if you need help finding their table, please contact us at gianlucasgift@gmail.com and we can provide you with the information."
51def8f6cdf6fbd77b89476924d41f4c,https://www.eventbrite.ca/e/dream-bigger-gala-tickets-61595206922?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F63850709%2F267670986198%2F1%2Foriginal.20190613-142822?w=1000&auto=compress&rect=0%2C0%2C2160%2C1080&s=8a523fe8221286723c570d7940c9564a,DREAM BIGGER GALA,by LivingStrongMD,"Fri, 11 Oct 2019, 7:00 PM –
Sat, 12 Oct 2019, 1:00 AM EDT","Le Treport Wedding & Convention Centre
1075 Queensway East 
Mississauga, ON L4Y 4C1","On October 5th, 2018,  LivingStrongMD hosted it's first fundraising event: the Little Steps Big Dreams Gala. The goal for the Gala was to raise $20,000. 
The night was full of Magic! There were amazing raffle prizes, balloons galore, an open bar, food stations, a singer playing the piano to greet you as you walked in, dessert stations including a doughnut wall and a cotton candy machine, an inspiring cancer survivor speaker, guest speakers from The Hospital for Sick Children and The Ronald McDonald House Charities Toronto, videos, a DJ playing your favourite songs all night long, and more! 
The $20,000 goal that seemed unreachable had gone above & beyond all expectations.  After all expenses, The Little Steps Big Dreams Gala raised over $56,000 - with 240 people in attendance. 
$56,000 is the total amount that was distributed equally between particular initiatives at The Hospital for Sick Children and The Ronald McDonald House Charities Toronto during the 2018 holiday season, during a time where families need hope and love the  most.
This year, The Dream Bigger Gala has a goal of $60,000! Join us for an evening of charitable celebration as we continue to pave the way towards making big dreams come true, by DREAMING BIGGER. With a twinkle of hope and a leap of belief; together we can alleviate suffering and promote hope for families and children living with serious illnesses. The night will be a dream come true! 
Stay tuned for a Special Announcement at this years Gala!!!


Join us for a night of charitable celebration including:


Food Stations


Dessert Stations


Open Bar


Live Entertainment


DJ


Raffle Prizes


Special Guest Speakers


& Magic Gallore!


Purchase your ticket's today and join us as we keep dreaming bigger for all those children and families that need it the most.

Will you Dream Bigger with us this year?
#DREAMBIGGERGALA2019 #LIVINGSTRONGMD
All net proceeds support the children and families of The Hospital for Sick Children & The Ronald McDonald House Charities Toronto.

CLICK BELOW TO VIEW OUR WEBSITE:
https://www.livingstrongmd.com/

Would you like to be a Sponsor of the Dream Bigger Gala? Click the link below:
https://www.livingstrongmd.com/sponsorship

Would you like to DONATE now to our Hospital for Sick Children & RMHC Toronto initiatives? Click the link below:
https://www.livingstrongmd.com/donate

 
FAQs
 
Are there ID or minimum age requirements to enter the event?
No age requirement. ID required if attending the open bar. All pricing for tickets are the same. 
 
What are my transportation/parking options for getting to and from the event?
There is free parking at the venue. Please use uber/taxi if needed. Please drive responsibly. 
 
How can I contact the organizer with any questions?
You may email any inquiries to: livingstrongmdcampaign@gmail.com
 
What's the refund policy?
No refunds. Please contact for any issues. 
 
Do I have to bring my printed ticket to the event?
Please bring your printed ticket just incase. We can also scan you in if you show your ticket on your phone.
 
Is it ok if the name on my ticket or registration doesn't match the person who attends?
Yes, as long as we are aware. Thank you."
71bb8966cefe783c483b49380a3e8dcc,https://www.eventbrite.ca/e/metaverse-007-the-uprising-tickets-67757858579?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F67993831%2F199612434020%2F1%2Foriginal.20190808-140918?w=1000&auto=compress&rect=0%2C55%2C1920%2C960&s=df6fcf159879dd601c9dc5bc947fe6d2,Metaverse 007: The Uprising,by Heavy Meta,"Fri, Nov 29, 2019, 9:00 PM –
Sat, Nov 30, 2019, 3:00 AM EST","Phoenix Concert Theatre
410 Sherbourne St. 
Toronto, ON M4X 1K2","Hidden among the ashes of a conflagration, there are always a few embers that continue to burn. Sometimes, those embers are all you need to re-ignite a powerful inferno. Join us as we re-enter the Metaverse on one of the darkest nights of the year, and celebrate with friends new and old the adventure that 2019 has been. Featuring:+ BLOSSOM (Night Bass Records)
+ SMALLTOWN DJS (Calgary, AB)+ Heavy Meta DJs+ The Heavy Meta dragon+ Top-notch production+ Special effects+ Immersive projection mapping+ Aerial performances+ Circus performances+ more Our last four events have completely defied our expectations for attendance, including selling out the last three indoor venues, and that is thanks to you. Come join us in the Metaverse at our biggest venue yet."
034e5c450a3df77744b74daae9edc406,https://www.eventbrite.ca/e/marcel-rami-khalife-ottawa-2019-tickets-71715742717?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F71243859%2F26658936347%2F1%2Foriginal.20190905-204122?w=1000&auto=compress&rect=0%2C0%2C2048%2C1024&s=71d7ded1a2ff3483aafed9f95bd31534,Marcel & Rami Khalife · Ottawa 2019,by Islamic Relief Canada,"Sun, 6 October 2019
6:30 PM – 9:30 PM EDT","The Bronson Centre
211 Bronson Avenue 
Ottawa, ON K1R 6H5",Join us for an evening in support of Palestine.
0897144ae40446e8e639d9c8ae0c5077,https://www.eventbrite.ca/e/empty-bowls-for-haiti-2019-tickets-70830958303?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F70260605%2F151105857283%2F1%2Foriginal.jpg?w=1000&auto=compress&rect=0%2C166%2C2000%2C1000&s=8cdcfc27333fcff64779f8c29518fb06,Empty Bowls for Haiti 2019,by Mennonite Central Committee,"Sat, 19 October 2019
5:00 PM – 9:00 PM EDT","Steinmann Mennonite Church
1316 Snyder's Road West 
Baden, ON N3A 3K8","Ontario potters donate the bowls, local restaurants and organizations donate the soup and you keep the bowl!
This event supports MCC Ontario and its commitment to sustainable change in Haiti.
Two seatings, 5 pm and 7 pm.
Tickets are $30 each and available online, by calling MCC at 519-745-8458 or at MCC's offices 203-50 Kent Avenue, Kitchener, Ontario.
Children 2 and under are able to attend at no charge, but are not eligible to receive a bowl."
7d6e047bbcb9475f1671be4c737d56e4,https://www.eventbrite.ca/e/refugee-highway-partnership-roundtable-2019-place-tickets-57992092911?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F57809572%2F146252877568%2F1%2Foriginal.20190304-141705?w=1000&auto=compress&rect=0%2C60%2C1920%2C960&s=5f9e4a5c8d5509e8b9643824f5806359,Refugee Highway Partnership Roundtable 2019- 'PLACE',"by The Peoples Church, Christie Refugee Welcome Centre, IAFR Canada & RHP","Wed, 23 Oct 2019, 9:00 AM –
Fri, 25 Oct 2019, 2:30 PM EDT","The Peoples Church
374 Sheppard Avenue East 
Toronto, ON M2N 3B6","The Refugee Highway is the journey that displaced people make, forced to leave home and hoping to find a new home.  The Refugee Highway Partnership is a network of Christians, churches and organizations who have found common cause in the call of Jesus to “welcome the stranger” and extend hospitality to those in need.  The Roundtable is where we gather -- the table is Round because we’re in this together and need one another’s voices.  It’s a place of inspiration, learning, sharing, and equipping.  It is a space where diverse ministries, services, and individuals find one another in order to bring about action that would please the heart of Jesus, as He sees us welcoming the stranger in our midst and showing the mercy that He first offered us.
 This year's theme is ""PLACE"" looking into thoughts from Exodus 33:21:
“Then the LORD said, ""There is a place near me where you may stand on a rock.”


We are also offering a pre-roundtable Professional Development training on Trauma Counselling.
Registration includes continental breakfasts and lunches!

To volunteer at the event, please email us at rhpnavolunteers@gmail.com and someone will connect with you!"
4f444d965ed878ffd3080d91ff4ae21d,https://www.eventbrite.ca/e/3rd-annual-squad-for-kids-gala-in-support-of-sick-kids-hospital-tickets-56513819355?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F57351685%2F292730785398%2F1%2Foriginal.20190224-230951?w=1000&auto=compress&rect=588%2C381%2C990%2C495&s=9d60ccde1085907351e325d09dc44eb2,3rd Annual Squad For Kids Gala in support of Sick Kids Hospital,by Mom Squad,"Sat, 16 Nov 2019, 5:00 PM –
Sun, 17 Nov 2019, 1:00 AM EST","Chateau Le Jardin Event Venue
8440 Ontario 27 
Vaughan, ON L4L 1A5",Be our guest and enjoy an evening with our Mom Squad Ladies only Event!
